scenario,layout,seed,method,reward,power,predicted_reward,test_wind_speed,test_wind_direction,train_wind_speed_min,train_wind_speed_max,train_wind_direction_min,train_wind_direction_max,n_turbines
Scenario 1,HornsRev1_Floris,0,GP,179.54648005962372,7478.379267524286,179.5464780999654,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,0,TabPFN-Fallback,181.55730319023132,7561.94768025383,177.17108727494875,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,0,GraphPFN,173.75458824634552,7237.232133377066,175.49615478515625,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 2,HornsRev1_Floris,0,Do-Nothing,170.85654520988464,7114.483221048758,,8.0,270.0,5.291988372802734,9.120687484741211,219.0819091796875,318.3382568359375,80
Scenario 2,HornsRev1_Floris,0,Random,175.48787665367126,7309.281974703527,,8.0,270.0,5.291988372802734,9.120687484741211,219.0819091796875,318.3382568359375,80
Scenario 2,HornsRev1_Floris,0,GP,179.54648005962372,7478.379267524286,335.7884521484375,8.0,270.0,5.291988372802734,9.120687484741211,219.0819091796875,318.3382568359375,80
Scenario 2,HornsRev1_Floris,0,TabPFN-Fallback,175.06691443920135,7291.939052681676,365.32715606689453,8.0,270.0,5.291988372802734,9.120687484741211,219.0819091796875,318.3382568359375,80
Scenario 2,HornsRev1_Floris,0,GraphPFN,176.19539713859558,7340.0449392330975,336.7629699707031,8.0,270.0,5.291988372802734,9.120687484741211,219.0819091796875,318.3382568359375,80
Scenario 1,HornsRev1_Floris,1,Do-Nothing,170.85654520988464,7114.483221048758,,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,1,Random,174.85007882118225,7282.209565288648,,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,1,GP,177.7630194425583,7404.831389785344,177.76022571474542,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,1,TabPFN-Fallback,175.74805641174316,7319.742445673311,176.02148556709284,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,1,GraphPFN,175.30255484580994,7301.257456970891,174.99005126953125,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 2,HornsRev1_Floris,1,Do-Nothing,170.85654520988464,7114.483221048758,,8.0,270.0,4.788570880889893,9.581036567687988,238.44644165039062,309.75018310546875,80
Scenario 2,HornsRev1_Floris,1,Random,174.85007882118225,7282.209565288648,,8.0,270.0,4.788570880889893,9.581036567687988,238.44644165039062,309.75018310546875,80
Scenario 2,HornsRev1_Floris,1,GP,174.85007882118225,7282.209565288648,351.05338828117067,8.0,270.0,4.788570880889893,9.581036567687988,238.44644165039062,309.75018310546875,80
Scenario 2,HornsRev1_Floris,1,TabPFN-Fallback,177.71294367313385,7401.425311775209,301.3229786157609,8.0,270.0,4.788570880889893,9.581036567687988,238.44644165039062,309.75018310546875,80
Scenario 2,HornsRev1_Floris,1,GraphPFN,176.14366805553436,7337.515970416585,318.4731750488281,8.0,270.0,4.788570880889893,9.581036567687988,238.44644165039062,309.75018310546875,80
Scenario 1,HornsRev1_Floris,2,Do-Nothing,170.85654520988464,7114.483221048758,,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,2,Random,175.10825538635254,7293.630267868434,,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,2,GP,178.73868870735168,7445.616965336109,178.71500063366977,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,2,TabPFN-Fallback,173.81723475456238,7239.339990794505,176.28517202536273,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 1,HornsRev1_Floris,2,GraphPFN,176.10370087623596,7336.767672975599,175.10472106933594,8.0,270.0,8.0,8.0,270.0,270.0,80
Scenario 2,HornsRev1_Floris,2,Do-Nothing,170.85654520988464,7114.483221048758,,8.0,270.0,5.899975776672363,9.677534103393555,233.75277709960938,296.82989501953125,80
Scenario 2,HornsRev1_Floris,2,Random,175.10825538635254,7293.630267868434,,8.0,270.0,5.899975776672363,9.677534103393555,233.75277709960938,296.82989501953125,80
Scenario 2,HornsRev1_Floris,2,GP,173.903266787529,7244.244328019588,354.2674560546875,8.0,270.0,5.899975776672363,9.677534103393555,233.75277709960938,296.82989501953125,80
Scenario 2,HornsRev1_Floris,2,TabPFN-Fallback,175.34172356128693,7302.820753744049,342.98477907975524,8.0,270.0,5.899975776672363,9.677534103393555,233.75277709960938,296.82989501953125,80
Scenario 2,HornsRev1_Floris,2,GraphPFN,176.10370087623596,7336.767672975599,355.21551513671875,8.0,270.0,5.899975776672363,9.677534103393555,233.75277709960938,296.82989501953125,80
Scenario 1,HornsRev2_Floris,0,Do-Nothing,366.1971244812012,17176.019426271585,,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,0,Random,364.5194013118744,17099.870938745793,,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,0,GP,367.32142663002014,17230.08390220746,367.3188980141735,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,0,TabPFN-Fallback,364.7388997077942,17108.486447290357,365.81457610925037,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,0,GraphPFN,365.3001432418823,17135.978583999196,364.7945251464844,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 2,HornsRev2_Floris,0,Do-Nothing,366.1971244812012,17176.019426271585,,8.0,270.0,4.156460762023926,9.490187644958496,216.90101623535156,309.53302001953125,91
Scenario 2,HornsRev2_Floris,0,Random,364.5194013118744,17099.870938745793,,8.0,270.0,4.156460762023926,9.490187644958496,216.90101623535156,309.53302001953125,91
Scenario 2,HornsRev2_Floris,0,GP,364.5194013118744,17099.870938745793,374.5410461425781,8.0,270.0,4.156460762023926,9.490187644958496,216.90101623535156,309.53302001953125,91
Scenario 2,HornsRev2_Floris,0,TabPFN-Fallback,364.2246096134186,17085.37282383918,386.9576557079951,8.0,270.0,4.156460762023926,9.490187644958496,216.90101623535156,309.53302001953125,91
Scenario 2,HornsRev2_Floris,0,GraphPFN,365.82915210723877,17157.63906874003,374.77142333984375,8.0,270.0,4.156460762023926,9.490187644958496,216.90101623535156,309.53302001953125,91
Scenario 1,HornsRev2_Floris,1,Do-Nothing,366.1971244812012,17176.019426271585,,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,1,Random,363.9161388874054,17072.265691746536,,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,1,GP,367.8235411643982,17254.800611297742,367.823545484715,8.0,270.0,8.0,8.0,270.0,270.0,91
Scenario 1,HornsRev2_Floris,1,TabPFN-Fallback,368.42845582962036,17280.18760179292,366.0224250356355,8.0,270.0,8.0,8.0,270.0,270.0,91
